game;discipline;medal;athlete
1896 Summer;Athletics Men's 1,500 metres;Bronze;Albin Georges Lermusiaux
1896 Summer;Athletics Men's 1,500 metres;Silver;Arthur Charles Blake
1896 Summer;Athletics Men's 1,500 metres;Gold;"Edwin Harold ""Teddy"" Flack"
1896 Summer;Athletics Men's 100 metres;Bronze;"Francis Adonijah ""Frank"" Lane"
1896 Summer;Athletics Men's 100 metres;Bronze;Alajos (Aljoz) Szokoly (-Szokol)
1896 Summer;Athletics Men's 100 metres;Silver;Fritz Hofmann
1896 Summer;Athletics Men's 100 metres;Gold;"Thomas Edmund ""Tom"" Burke"
1896 Summer;Athletics Men's 110 metres Hurdles;Silver;Grantley Thomas Smart Goulding
1896 Summer;Athletics Men's 110 metres Hurdles;Gold;"Thomas Pelham ""Tom"" Curtis"
1896 Summer;Athletics Men's 400 metres;Bronze;Charles Henry Stuart Gmelin
1896 Summer;Athletics Men's 400 metres;Silver;Herbert Brotherson Jamison
1896 Summer;Athletics Men's 400 metres;Gold;"Thomas Edmund ""Tom"" Burke"
1896 Summer;Athletics Men's 800 metres;Bronze;Dimitrios P. Golemis
1896 Summer;Athletics Men's 800 metres;Silver;Nndor Dni
1896 Summer;Athletics Men's 800 metres;Gold;"Edwin Harold ""Teddy"" Flack"
1896 Summer;Athletics Men's Discus Throw;Bronze;Sotirios Versis
1896 Summer;Athletics Men's Discus Throw;Silver;Panagiotis Paraskevopoulos
1896 Summer;Athletics Men's Discus Throw;Gold;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's High Jump;Silver;James Brendan Bennet Connolly
1896 Summer;Athletics Men's High Jump;Silver;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's High Jump;Gold;Ellery Harding Clark
1896 Summer;Athletics Men's Long Jump;Bronze;James Brendan Bennet Connolly
1896 Summer;Athletics Men's Long Jump;Silver;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's Long Jump;Gold;Ellery Harding Clark
1896 Summer;Athletics Men's Marathon;Bronze;Gyula Kellner
1896 Summer;Athletics Men's Marathon;Silver;Kharilaos Vasilakos
1896 Summer;Athletics Men's Marathon;Gold;"Spyridon ""Spyros"" Louis"
1896 Summer;Athletics Men's Pole Vault;Bronze;Evangelos Damaskos
1896 Summer;Athletics Men's Pole Vault;Bronze;Ioannis Theodoropoulos
1896 Summer;Athletics Men's Pole Vault;Silver;Albert Clinton Tyler
1896 Summer;Athletics Men's Pole Vault;Gold;"William Welles ""Bill"" Hoyt"
1896 Summer;Athletics Men's Shot Put;Bronze;Georgios Saranti Papasideris
1896 Summer;Athletics Men's Shot Put;Silver;Miltiadis Gouskos
1896 Summer;Athletics Men's Shot Put;Gold;"Robert ""Bob"" Garrett"
1896 Summer;Athletics Men's Triple Jump;Bronze;Ioannis Persakis
1896 Summer;Athletics Men's Triple Jump;Silver;Pierre Alexandre Tuffri
1896 Summer;Athletics Men's Triple Jump;Gold;James Brendan Bennet Connolly
1896 Summer;Cycling Men's 10,000 metres;Bronze;Felix Adolf Schmal
1896 Summer;Cycling Men's 10,000 metres;Silver;Marie Lon Flameng
1896 Summer;Cycling Men's 10,000 metres;Gold;Paul Michel Pierre Adrien Masson (-Nossam)
1896 Summer;Cycling Men's 100 kilometres;Silver;Georgios Koletis
1896 Summer;Cycling Men's 100 kilometres;Gold;Marie Lon Flameng
1896 Summer;Cycling Men's 12-Hours Race;Silver;Frederick Keeping
1896 Summer;Cycling Men's 12-Hours Race;Gold;Felix Adolf Schmal
1896 Summer;Cycling Men's 333 metres Time Trial;Bronze;Felix Adolf Schmal
1896 Summer;Cycling Men's 333 metres Time Trial;Silver;Stamatios Nikolopoulos
1896 Summer;Cycling Men's 333 metres Time Trial;Gold;Paul Michel Pierre Adrien Masson (-Nossam)
1896 Summer;Cycling Men's Road Race, Individual;Bronze;Edward Battel
1896 Summer;Cycling Men's Road Race, Individual;Silver;Anton Gdrich
1896 Summer;Cycling Men's Road Race, Individual;Gold;Aristidis Konstantinidis
1896 Summer;Cycling Men's Sprint;Bronze;Marie Lon Flameng
1896 Summer;Cycling Men's Sprint;Silver;Stamatios Nikolopoulos
1896 Summer;Cycling Men's Sprint;Gold;Paul Michel Pierre Adrien Masson (-Nossam)
1896 Summer;Fencing Men's Foil, Individual;Bronze;Periklis Pierrakos-Mavromikhalis
1896 Summer;Fencing Men's Foil, Individual;Bronze;Athanasios Vouros
1896 Summer;Fencing Men's Foil, Individual;Silver;Eugne Henri Callot
1896 Summer;Fencing Men's Foil, Individual;Gold;Eugne Henry Gravelotte
1896 Summer;Fencing Men's Foil, Masters, Individual;Silver;Joanni Maurice Perronet
1896 Summer;Fencing Men's Foil, Masters, Individual;Gold;"Leonidas ""Leon"" Pyrgos"
1896 Summer;Fencing Men's Sabre, Individual;Bronze;Holger Louis Nielsen
1896 Summer;Fencing Men's Sabre, Individual;Silver;Tilemakhos Karakalos
1896 Summer;Fencing Men's Sabre, Individual;Gold;Ioannis Georgiadis
1896 Summer;Gymnastics Men's Horizontal Bar;Silver;Alfred Flatow
1896 Summer;Gymnastics Men's Horizontal Bar;Gold;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Conrad Helmut Fritz Bcker
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Alfred Flatow
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Gustav Felix Flatow
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Georg Otto Hilmar
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Julius Carl Fritz Manteuffel
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Karl Neukirch
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Richard Rstel
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Fritz Richard Gustav Schuft
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Carl Schuhmann
1896 Summer;Gymnastics Men's Horizontal Bar, Teams;Gold;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Horse Vault;Bronze;Hermann Otto Ludwig Weingrtner
1896 Summer;Gymnastics Men's Horse Vault;Silver;"Jules Alexis ""Louis"" Zutter"
1896 Summer;Gymnastics Men's Horse Vault;Gold;Carl Schuhmann
1896 Summer;Gymnastics Men's Parallel Bars;Silver;"Jules Alexis ""Louis"" Zutter"
1896 Summer;Gymnastics Men's Parallel Bars;Gold;Alfred Flatow
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Bronze;Filippos Karvelas
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Bronze;Dimitrios Loundras
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Conrad Helmut Fritz Bcker
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Alfred Flatow
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Gustav Felix Flatow
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Georg Otto Hilmar
1896 Summer;Gymnastics Men's Parallel Bars, Teams;Gold;Julius Carl Fritz Manteuffel
